Kortkode;forrigekode;FP;SP;Klasse
SA-AD_L2;1AR-A-0-L2;4;4;VN
SA-AD_L2B;1AR-A-0-L2B;4;4;VN
SA-AD_L2E;1AR-A-0-L2E;4;4;VN
SA-AD_L2V;1AR-A-0-L2V;4;4;VN
SA-AD_LV;1AR-A-0-LV;4;4;VN
SA-AD_L;1AR-A-0-L;4;4;VN
SA-AD_V2;1AR-A-0-V2;4;4;VN
SA-AD_V2B;1AR-A-0-V2B;4;4;VN
SA-AD_V2E;1AR-A-0-V2E;4;4;VN
SA-AD_V2L;1AR-A-0-V2L;4;4;VN
SA-AD_V;1AR-A-0-V;4;4;VN
SA-VE;KLG-VE;4;4;VN
SA-VE_a;KLG-VE-1;4;4;VN
SA-VE_b;KLG-VE-2;4;4;VN
SA-VE_c;KLG-VE-3;4;4;VN
SA-VE_d;KLG-VE-4;4;4;VN
SA-AG;1AG-A-G;4;4;VN
SA-AO;1AG-A-E;4;4;VN
SA-AT;1AG-A-0;4;4;VN
SA-AV;1AG-A-V;4;4;VN
SA-BT;1AG-B;4;4;VN
SA-CT;1AG-C;4;4;VN
SA-DT;1AG-D;4;4;VN
SA-ET;1AG-E;4;4;VN
SA-FT;1AG-F;4;4;VN
SA-GT;1AG-G;4;4;VN
SA-HT;1AG-H;4;4;VN
SA-AB;1AR-A-B;4;4;VN
SA-AE;1AR-A-E;4;4;VN
SA-AL;1AR-A-L;4;4;VN
SA-AP;1AR-A-V;4;4;VN
SA-BB;1AR-B-B;4;4;VN
SA-BE;1AR-B-E;4;4;VN
SA-BL;1AR-B-L;4;4;VN
SA-BP;1AR-B-V;4;4;VN
SA-CG;1AR-C-G;4;4;VN
SA-CH;1AR-C-H;4;4;VN
SA-CK;1AR-C-K;4;4;VN
SA-CL;1AR-C-L;4;4;VN
SA-DL;1AR-D-L;4;4;VN
SA-DM;1AR-D-M;4;4;VN
SA-HF;1AR-H-F;4;4;VN
SA-HH;1AR-H-H;4;4;VN
SA-HS;1AR-H-S;4;4;VN
NO-G1;4DG-M-0;4;4;VN
NO-G2;4DG-S-0;4;4;VN
NO-G3;4DG-M-B;4;4;VN
NO-G4;4DG-M-L;4;4;VN
NO-G5;4DG-M-L;4;4;VN
NO-G6;4DG-S-B;4;4;VN
NO-G7;4DG-S-L;4;4;VN
NO-G8;4DG-S-L;4;4;VN
NO-GT;4DG-0;4;4;VN
NO-L01;4DL-ML-B;4;4;VN
NO-L02;4DL-SL-B;4;4;VN
NO-L03;4DL-ML-L;4;4;VN
NO-L04;4DL-SL-L;4;4;VN
NO-L05;4DL-ML-L;4;4;VN
NO-L06;4DL-SL-L;4;4;VN
NO-L08;4DL-ML-B;4;4;VN
NO-L09;4DL-SL-B;4;4;VN
NO-L10;4DL-ML-L;4;4;VN
NO-L11;4DL-SL-L;4;4;VN
NO-L12;4DL-ML-L;4;4;VN
NO-L13;4DL-SL-L;4;4;VN
NO-LI;4DL-L;4;4;VN
NO-LS;4DL-S;4;4;VN
NO-LT;4DL-0;4;4;VN
NO-GA-S;1AR-G-XX(yy);4;4;VN
NO-GB;1AR-G-B;4;4;VN
NO-GL;1AR-G-L;4;4;VN
NO-LA-S;1AR-L-XX(yy);4;4;VN
NO-LB;1AR-L-B;4;4;VN
NO-LL;1AR-L-L;4;4;VN
NO-TA;4TS-0;4;4;VN
NO-AA;4TG-0;4;4;VN
NO-AT-S;4TS-XX(yy);4;4;VN
NO-XB;4TL-BS;4;4;VN
NO-XH;4TL-HL;4;4;VN
NO-XL;4TL-HE;4;4;VN
NO-XR;4TL-RB;4;4;VN
NO-XS;4TL-SB;4;4;VN
NO-XT;4TL-SB;4;4;VN
NO-M1;4TS-T1;4;4;VN
NO-M2;4TS-T2;4;4;VN
NO-M3;4TS-T3;4;4;VN
NO-M4;4TS-T4;4;4;VN
NO-M5;4TS-T5;4;4;VN
NO-MA;4TS-TS;3;3;VN
NO-MB;4TS-TS;3;3;VN
NO-MC;4TS-TS;3;3;VN
NO-MD;4TS-TS;3;3;VN
NO-S0;4TS-D0;4;4;VN
NO-S1;4TS-D1;4;4;VN
NO-S2;4TS-D2;4;4;VN
NO-S3;4TS-D3;4;4;VN
NO-S4;4TS-D4;4;4;VN
NO-S5;4TS-D5;4;4;VN
NO-S6;4TS-D6;4;4;VN
RA-BV-S;1AE-BV;4;4;VN
RA-MB-S;1AE-MB;4;4;VN
RA-MO-S;1AE-MO;4;4;VN
RA-AE-S;1AR-A-XX(yy);4;4;VN
RA-BE-S;1AR-B-XX(yy);4;4;VN
AD-UT;7UB;4;4;VN
AD-ØD_0;T26-5,6,7,T27-8;2;2;VN
AD-ØD_A;T27-6,7;3;3;VN
AD-ØD_B;T26-1,T27-1,3;3;3;VN
AD-ØD_C;T26-3,T27-2,4,5;3;3;VN
AD-ØD_D;T26-1;4;4;VN
AD-ØD_E;T26-2,4;4;4;VN
AD-TP_0;TE-0;4;4;VN
AD-TP_a;TE-0,¤;4;4;VN
AD-TP_b;TE-¤;4;4;VN
MO-SL;7JB-HT-SL;4;4;VN
MO-ST;7JB-HT-ST;4;4;VN
RA-BD-S;7JB-BD;4;4;VN
AD-IE;7RA;4;4;VN
AD-IE_0;7RA-SJ-1;4;4;VN
AD-IE_a;7RA-SJ-2;4;4;VN
AD-IE_b;7RA-SJ-3;4;4;VN
AD-IE_c;7RA-SJ-3;4;4;VN
AD-IE_d;7RA-SJ-4;4;4;VN
AD-IE_e;7RA-SJ-4;4;4;VN
AD-IE_f;7RA-SJ-4;4;4;VN
AD-IE_y;7RA-SJ-5;4;4;VN
AD-KU;7JB-KU;4;4;VN
AD-KU_a;7JB-KU-PI;4;4;VN
AD-KU_b;7JB-KU-BY;4;4;VN
AD-KU_c;7JB-KU-MO;4;4;VN
AD-KU_d;7JB-KU-DE;4;4;VN
AD-ST;7SD-0,7SD-NS,NU;3;3;VN
AD-ST_0;7SD-NS-1;4;4;VN
AD-ST_a;7SD-NS-1;4;4;VN
AD-ST_b;7SD-NS-2;4;4;VN
AD-ST_c;7SD-NS-3;4;4;VN
AD-ST_d;7SD-NS-4;4;4;VN
AD-ST_e;7SD-NS-5;4;4;VN
AD-ST_f;7SD-0-1;4;4;VN
AD-ST_y;7SD-0-1;4;4;VN
AD-TE;7GR-EG,7VR-EG;2;2;VN
VS-SS;9TS;4;4;VN
VS-SS_1;9TS-1;4;4;VN
VS-SS_2;9TS-2;4;4;VN
VS-SS_3;9TS-3;4;4;VN
